Company Code,MPD_AUG_2021,MPD_JUL_2021,MPD_JUN_2021,MPD_MAY_2021,MPD_APR_2021,MPD_MAR_2021,MPD_FEB_2021,MPD_JAN_2021,Average_Payment_Days,"('total_counts', '0')","('total_counts', '1-30')","('total_counts', '31-60')","('total_counts', '61-90')","('total_counts', '90+')",Risk
5001,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0
5001,129,227,190,159,137,125,97,105,111,2,0,17,63,25,1
5001,69,66,70,64,53,55,61,48,44,5,61,53,23,5,1
5001,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0
5001,11,0,0,0,0,1,0,0,2,8,3,0,0,0,0
5001,3,0,9,0,4,1,0,10,9,27,55,1,2,0,1
5001,6,0,21,0,22,0,15,12,13,13,28,8,1,0,1
5001,116,106,80,76,82,46,12,13,44,62,274,79,117,60,1
5001,0,0,5,5,0,0,0,6,1,79,61,0,0,0,0
5001,0,0,0,0,0,0,0,0,0,186,1,0,0,0,0
5001,74,12,0,0,0,27,78,46,35,4,8,4,1,3,1
5001,0,0,0,18,0,0,0,0,9,2,1,0,0,0,0
5001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5001,7,0,0,0,0,0,0,0,0,56,8,0,0,0,0
5001,1,12,14,0,1,0,0,0,3,162,44,1,3,0,1
5001,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0
5001,0,0,0,12,0,0,0,0,3,47,0,4,0,0,0
5001,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
1001,0,0,0,0,0,0,0,30,5,15,2,1,0,0,0
1001,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1001,0,0,0,0,0,30,0,0,3,20,0,0,1,0,1
1001,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,3,24,12,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0
1001,0,0,0,0,0,0,0,31,21,0,4,1,0,0,0
1001,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0
1001,0,0,0,0,0,0,0,1,0,25,2,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0
